time,prediction,confidence,price
2026-02-17T12:01:55.671276,UP,0.6663845068801021,68416.94
2026-02-17T12:02:55.893365,UP,0.8015945423636687,68422.72
2026-02-17T12:03:56.138048,DOWN,0.7888145543990016,68412.0
2026-02-17T12:04:56.345592,UP,0.9559718982547022,68437.05
2026-02-17T12:05:56.554648,DOWN,0.988979971008096,68434.2
2026-02-17T12:06:56.752813,DOWN,0.9295497034577984,68411.65
2026-02-17T12:08:57.170493,DOWN,0.8973018346946923,68424.61
2026-02-17T12:09:57.396417,UP,0.7013699769455576,68450.81
2026-02-17T12:10:57.617907,UP,0.894352305162825,68477.77
2026-02-17T12:11:57.857989,DOWN,0.8358516655796462,68506.87
2026-02-17T12:12:58.155199,UP,0.7859834573582143,68463.45
2026-02-17T12:13:58.357327,DOWN,0.6987442120894265,68447.2
2026-02-17T12:15:58.883534,DOWN,0.6713595909607916,68444.02
